Time,Day Open,Day Close,Normalized Day Change,Normalized Volume (High/Low),Normalized Open (52wk High/Low),Normalized Yesterday Close to Today Open,Past First Derivative,Past Average Normalized Open to Close,Past Second Derivative,Buy
2019-06-19,1107.24,1104.51,-0.002465590115964035,1.0,0.18849521911587178,0,0,0,0,0
2019-06-20,1121.7,1113.2,-0.007577783721137559,7.401486218432661e-06,0.2162032690133559,-0.015563462530896103,5.7875,-0.004120678964755794,0,1
2019-06-21,1109.86,1125.37,0.013974735552231806,1.0,0.19351562649702012,0.003000359324470127,2.9349999999999996,0.0022070003211994153,-2.885,0
2019-06-24,1120.0,1116.7,-0.002946428571428531,0.008210977118235529,0.21294575277367925,0.004771763953188632,2.079166666666666,0.0011423153613277608,4.5600000000000005,0
2019-06-25,1115.08,1087.58,-0.0246619076658177,0.2849925072778436,0.20351811753885052,0.0014507029640907299,-0.5681250000000004,-0.0038349112404338854,-0.09499999999999953,0
2019-06-26,1091.0,1080.32,-0.009789184234647171,0.3990881674782225,0.15737635809684403,-0.0031445962595855687,-2.0215,-0.004673170844439725,-3.0962499999999995,0
2019-06-27,1086.75,1076.63,-0.009312169312169211,0.002247442945069565,0.14923256749765265,-0.005951940165876837,-2.0154166666666664,-0.005203329220374398,-0.7949999999999994,1
2019-06-28,1077.23,1082.8,0.0051706692164161195,0.3607426203226542,0.13099047655546403,-0.0005572945208659511,-1.8471428571428572,-0.003791248116935866,-0.6158333333333329,0
2019-07-01,1101.04,1100.0,-0.0009445615054856896,0.19697226758547495,0.17661486577116897,-0.016845216106390847,-0.3346875,-0.003374031250963262,0.5928571428571432,1
2019-07-02,1104.83,1112.6,0.00703275617063257,6.635902622110562e-07,0.18387721079962427,-0.004390909090909024,0.15777777777777774,-0.002243558666727648,0.1056250000000003,1
2019-07-03,1118.5,1122.99,0.0040143048725972364,6.531017434551041e-07,0.21007147373867055,-0.004390909090909024,-0.5459374999999995,-0.0023193947729074384,1.0168750000000002,1
2019-07-05,1119.37,1132.665,0.011877216648650647,0.31476956937736544,0.2117385555789754,-0.005302894121876767,0.19562500000000055,-0.0010322504165478424,-0.6887499999999998,0
2019-07-08,1125.87,1116.79,-0.008064874275005043,0.3178345758594003,0.22419376473067984,0.0032235371641778808,0.4792187500000006,-0.0012659372078234821,1.0371875,1
2019-07-09,1110.32,1124.29,0.01258195835434832,0.3042833677844503,0.1943970720677562,0.005999125955158916,1.25,-0.0018346665484876058,1.15125,1
2019-07-10,1132.32,1140.91,0.007586194715274963,0.34472604014616415,0.23655316458121742,0.005793389983792859,1.9778125000000002,0.0023002540292435835,1.5406250000000001,0
