Time,Volume,Day Open,Day Close,Normalized Day Change,Normalized Volume to Moving Average,Normalized Open to Moving Average,Normalized Open (52wk High/Low),Normalized Yesterday Close to Today Open,Past First Derivative,Past Average Normalized Open to Close,Past Second Derivative,Buy
2019-06-24,10012236,77.53,76.95,-0.0074809751064103995,0.5,0.5,0.9917389940395275,0,0,0,0,0
2019-06-25,9739970,77.08,76.27,-0.010508562532433865,0.49310795968814825,0.4985447254381993,0.9823277214263306,-0.0016894087069525075,-0.28250000000000003,0.0038908380920521096,0,0
2019-06-26,11365476,76.68,76.6,-0.0010432968179448683,0.547862594649563,0.49729776471096887,0.973962145770156,-0.005375639176609556,-0.15000000000000002,0.0065417121780861785,-0.11499999999999999,0
2019-06-27,8147803,76.59,75.82,-0.01005353179266236,0.41501094408995587,0.4975315057814733,0.9720798912475166,0.00013054830287194394,-0.17250000000000001,0.005647359014348207,0.125,1
2019-06-28,14781298,76.19,76.63,0.005775036093975557,0.6837270036960387,0.49593824042492257,0.9637143155913417,-0.004879978897388612,-0.10375000000000001,0.00824894045671758,-0.031666666666666655,0
2019-07-01,11453769,77.13,76.56,-0.007390120575651409,0.5245956858500979,0.5017129228100607,0.9833734183833525,-0.006524859715516117,-0.039500000000000014,0.007791391675021821,0.1275,0
2019-07-02,10475419,76.14,75.72,-0.005516154452324688,0.48257318751477357,0.4959429783749582,0.9626686186343199,0.005485893416927921,-0.10916666666666668,0.007752449577516016,0.0010000000000000009,1
2019-07-03,5246096,75.82,76.44,0.008177261936164661,0.25835816268994977,0.49461804422989114,0.9559761581093799,-0.0013206550449021966,-0.07928571428571428,0.00941942566358609,0.013333333333333334,0
2019-07-05,6881115,76.19,76.13,-0.0007875049219057918,0.3514631003906306,0.4973598317255386,0.9637143155913417,0.003270538984824699,-0.06749999999999999,0.009725905393297462,0.08571428571428573,1
2019-07-08,7876097,76.14,76.48,0.004465458366167631,0.41030194652743746,0.49732850853701555,0.9626686186343199,-0.00013135426244588358,-0.05166666666666665,0.010490416228092688,0.032500000000000015,0
2019-07-09,7863026,76.45,76.43,-0.00026160889470236784,0.4164645902264978,0.49941207211915345,0.9691519397678554,-0.00013135426244588358,-0.02281250000000001,0.011061765304018542,0.07187500000000002,1
2019-07-10,8077369,76.8,77.51,0.00924479166666677,0.43302676167552095,0.5015564795263079,0.9764718184670083,0.00039225941422595627,-0.0125,0.012197312313605796,0.0037500000000000064,1
2019-07-11,6404194,77.41,77.57,0.00206691641906726,0.3518078110833902,0.5051096722381169,0.9892293213426748,-0.004841031008766064,0.059375000000000004,0.013323531657733192,0.09250000000000003,0
2019-07-12,6139299,77.75,77.63,-0.0015434083601286758,0.3452836211374888,0.5067976534127946,0.9963400606504236,0.0012901561088892856,0.0675,0.0146379463077793,-0.017499999999999995,0
2019-07-15,7116356,77.63,77.08,-0.007084889862166652,0.4056305174476123,0.5056099276614592,0.993830387953571,-0.0023204847234756585,0.0528125,0.013806761524269079,0.028125000000000015,0
2019-07-16,10197358,76.92,75.93,-0.012870514820592757,0.5754031505319969,0.5009239285278198,0.9789814911638608,0.0,0.08906249999999999,0.013831134715328082,-0.008124999999999997,0
2019-07-17,7419314,75.74,75.48,-0.003432796408766714,0.42269287765683305,0.49363206281293376,0.9543030429781448,0.0020757654385054045,0.01843749999999998,0.013009972466790939,-0.10062499999999999,0
2019-07-18,11425663,75.03,74.84,-0.0025323204051712345,0.640205313774916,0.4896028189846436,0.9394541461884347,0.00250230475437919,-0.034375,0.011738271572952132,-0.0125,1
2019-07-19,11243310,74.9,74.99,0.0012016021361814311,0.6214839588671045,0.4893337551233737,0.936735334100178,0.0059618441971383525,-0.0859375,0.01156893225097097,-0.033125,0
2019-07-22,8370141,75.24,75.07,-0.0022594364699628088,0.4644007351522892,0.4919704974629911,0.9438460734079264,-0.000801710315339421,-0.0934375,0.011234486426112435,0.006874999999999997,1
2019-07-23,8551205,75.15,75.37,0.0029274783765801575,0.4756041657721377,0.4917856541872597,0.9419638188852872,-0.0033337778370449394,-0.12499999999999997,0.011038191863500225,-0.05500000000000001,0
2019-07-24,8260245,75.39,75.36,-0.00039793076004776676,0.4611225044305347,0.4936543841895351,0.946983164278992,-0.001065672039430032,-0.13937499999999997,0.010376144831820118,0.0037500000000000103,0
2019-07-25,9083914,75.78,74.93,-0.011216679862760547,0.5067902291281027,0.4963717761778912,0.9551396005437625,-0.00026535756932461217,-0.14468749999999997,0.010143252136985963,0.005625000000000004,0
2019-07-26,7677427,74.87,74.81,-0.0008013890743956494,0.4308963224498978,0.49080331048045667,0.9361079159259648,-0.005573248407643335,-0.12499999999999997,0.009118699979673553,-0.018750000000000003,1
2019-07-29,7091889,74.88,75.34,0.0061431623931625,0.401306550087696,0.4912277018835643,0.936317055317369,0.0008007473642066231,-0.0990625,0.00985943412712103,0.058124999999999996,1
