Datetime,Open,Close,High,Low,Volume
1561352400000,152.62,152.66,153.85,150.72,7073718
1561438800000,152.86,151.48,155.88,151.37,7796661
1561525200000,156.61,159.26,161.72,156.09,14601825
1561611600000,162.71,163.23,164.0,161.26,11136038
1561698000000,165.0,164.23,165.37,162.35,9941659
1561957200000,172.57,166.17,173.95,164.66,17788327
1562043600000,165.5,162.23,166.3493,161.7,10005688
1562130000000,163.17,162.75,163.4,160.3415,6165856
1562302800000,160.4,160.23,160.58,157.68,9913847
1562562000000,157.83,157.21,158.59,156.0,8244669
1562648400000,155.51,157.31,158.44,155.0,8571512
1562734800000,159.06,160.06,162.3689,158.5,11301899
1562821200000,163.0,166.28,167.92,161.5,17063964
1562907600000,167.4,167.61,170.47,167.4,12659816
1563166800000,168.46,167.27,169.1058,166.13,7245993
1563253200000,166.67,167.08,168.17,164.8425,8536098
1563339600000,167.15,169.71,169.99,165.974,8705107
1563426000000,170.125,170.18,172.71,167.85,11079474
1563512400000,171.72,168.44,171.98,168.2,8622395
1563771600000,169.3,171.32,171.84,169.0,7898498
1563858000000,172.9,175.66,175.74,172.27,10704414
1563944400000,177.4,178.66,178.89,174.34,9155937
1564030800000,176.99,173.38,177.5,172.44,9817453
1564117200000,174.47,175.07,176.95,174.47,6853997
1564376400000,174.78,174.82,175.4697,171.27,6204049
1564462800000,172.95,175.45,175.94,172.37,4944261
1564549200000,174.18,168.72,174.215,167.02,8985391
1564635600000,169.14,164.92,172.78,162.8204,10530314
1564722000000,161.19,161.19,163.98,159.28,10708732
1564981200000,153.8,150.79,153.85,148.9,14728936
1565067600000,153.8,152.35,155.63,150.43,9031767
1565154000000,149.9,153.89,154.37,149.2,9314045
1565240400000,156.21,158.26,158.31,153.9,7732472
1565326800000,156.61,154.18,156.75,152.15,8545418
1565586000000,152.08,151.45,154.18,150.57,6980012
1565672400000,151.39,156.05,157.9,149.8201,9012811
1565758800000,152.5035,150.07,152.95,148.3111,10497033
1565845200000,150.83,148.77,151.63,147.394,13861551
1565931600000,159.35,159.56,161.54,156.88,25384628
1566190800000,164.12,170.78,171.42,163.47,20408061
1566277200000,170.56,167.87,170.58,167.02,11588040
1566363600000,170.53,171.23,173.45,169.66,10697773
1566450000000,171.62,171.48,173.33,169.9045,7593918
1566536400000,168.4,162.44,170.59,161.64,14237433
1566795600000,165.61,165.45,166.58,163.91,7964854
1566882000000,166.99,161.8,167.1,160.62,7288739
1566968400000,160.58,161.22,163.34,159.0,6395703
1567054800000,164.9,167.0,168.3,164.76,8959326
1567141200000,168.86,167.51,170.86,166.78,7272712
1567486800000,164.58,164.17,165.91,163.252,7412770
1567573200000,166.61,168.76,169.06,166.61,5703009
1567659600000,172.865,179.74,179.99,172.8,17412125
1567746000000,178.8,178.65,181.09,177.12,9424419
1568005200000,179.9,180.5,183.98,179.84,10438133
