Time,Previous Trend,Past 10 Days Day Open to Close Slope,Past 10 Days Overall Slope,Past 10 Days Second Derivative,Yesterday Close to Today Open,Open to Moving Average,Open to 52 Wk Average,Volume to Moving Average,Buy
2019-07-23,1,2.008888888888881,1.4456250000000004,-1.98375,1,1,0,0,1
2019-07-24,1,0.8722222222222121,0.04531249999999998,-0.30312499999999987,0,1,0,1,1
2019-07-25,1,0.4288888888888525,0.03937500000000005,0.41750000000000015,0,1,0,1,0
2019-07-26,0,1.4499999999999948,-0.4974999999999998,0.29374999999999996,1,1,0,1,1
2019-07-29,1,0.84777777777779,-0.655,-0.5112500000000001,0,1,0,1,0
2019-07-30,0,2.1866666666666736,5.4071875,0.6556249999999997,0,1,0,0,1
2019-07-31,1,1.3655555555555514,5.83375,0.2199999999999994,0,1,0,1,0
2019-08-01,0,1.9411111111111141,5.18,-0.2650000000000008,0,1,0,1,0
2019-08-02,0,0.617777777777797,5.06875,0.6937499999999988,0,1,0,1,0
2019-08-05,0,1.9422222222222243,4.8353125,-0.5993750000000009,0,1,0,1,0
2019-08-06,0,0.7844444444444384,3.369375,-0.7050000000000008,1,1,0,1,1
2019-08-07,1,-1.7511111111111102,1.7303125,-1.583125000000001,0,1,0,0,1
2019-08-08,1,-1.9233333333333524,1.9284374999999991,0.5356249999999989,1,1,0,0,1
2019-08-09,1,0.4233333333333273,-4.3596875,0.055625000000000036,0,1,0,0,0
2019-08-12,0,0.7055555555555455,-2.86625,1.2762499999999997,0,1,0,0,0
2019-08-13,0,-0.4538888888888677,-2.0657812499999997,-0.7559375,0,1,0,0,1
2019-08-14,1,-1.1761111111110898,-2.7678125000000002,0.07312499999999961,0,1,0,1,0
2019-08-15,0,2.0516666666666827,-1.8228125000000004,1.764375,1,1,0,0,1
2019-08-16,1,1.3883333333333718,-1.84375,-0.32125000000000004,1,1,0,0,0
2019-08-19,0,2.229444444444476,0.3134375000000005,1.1943750000000002,1,1,0,0,1
2019-08-20,1,4.078333333333376,0.73125,-0.44624999999999976,0,1,0,0,0
2019-08-21,0,4.417222222222285,1.83,-0.5937499999999999,1,1,0,0,0
2019-08-22,0,1.0916666666667223,-0.42937499999999995,-1.9737499999999997,1,1,0,0,0
2019-08-23,0,-1.5749999999999444,-0.04671875000000009,0.42843750000000025,0,1,0,1,0
2019-08-26,0,-0.5955555555555192,0.963125,0.20124999999999987,1,1,0,0,1
2019-08-27,1,-3.494444444444424,-1.0103125,-3.373125,1,1,0,0,0
2019-08-28,0,-4.677777777777767,-0.30281250000000015,1.471875,0,1,0,0,1
2019-08-29,1,-4.717777777777782,0.5021874999999997,-0.8168750000000002,1,1,0,0,1
2019-08-30,1,-3.829999999999978,-0.6681249999999999,0.6537499999999999,1,1,0,0,0
2019-09-03,0,-2.7855555555555487,-0.3628124999999994,-0.04937500000000011,0,1,0,0,0
2019-09-04,0,-4.833333333333333,0.3750000000000002,0.125,1,1,0,0,1
2019-09-05,1,-4.8866666666666685,-1.125,-0.5037499999999997,1,1,0,0,1
2019-09-06,1,-4.10222222222223,-0.7374999999999996,0.3187500000000002,0,1,0,0,0
2019-09-09,0,-1.7900000000000142,2.0968750000000003,3.1325000000000003,1,1,0,1,0
2019-09-10,0,1.4066666666666505,2.6509375,-0.9093749999999998,0,1,0,0,1
2019-09-11,1,-0.0977777777777899,1.8290625000000003,0.6481250000000002,0,1,0,0,1
2019-09-12,1,2.3233333333333426,1.9740625,0.04562500000000003,1,1,0,1,1
2019-09-13,1,3.1266666666666527,1.3509375000000001,0.5181250000000001,0,1,0,0,1
2019-09-16,1,3.5355555555555487,2.11125,1.3325000000000005,0,1,0,0,1
2019-09-17,1,5.506666666666661,3.773125,1.2637500000000004,1,1,0,0,0
2019-09-18,0,7.00555555555555,3.1359375,-0.10187499999999994,1,1,0,0,1
2019-09-19,1,6.49777777777778,1.7393749999999997,-1.2674999999999998,0,1,0,0,1
2019-09-20,1,4.706666666666681,1.4821875,0.32687499999999975,0,1,0,1,0
2019-09-23,0,5.734444444444484,1.835,0.5149999999999999,0,1,0,0,1
2019-09-24,1,5.513333333333346,1.9278124999999995,-0.8381250000000002,1,1,0,1,0
2019-09-25,0,5.3477777777777895,1.1678125000000001,-0.49937500000000035,0,1,0,0,1
2019-09-26,1,1.1500000000000152,-0.0034374999999999822,-2.073125,0,1,0,0,1
2019-09-27,1,3.1977777777778,-0.31843749999999993,1.3756249999999999,1,1,0,1,0
2019-09-30,0,2.3344444444444434,0.6987500000000001,-0.06499999999999967,0,1,0,0,1
2019-10-01,1,0.3266666666666727,0.2271875,-0.9456249999999999,1,1,0,0,0
2019-10-02,0,0.5811111111111384,-0.6609374999999998,-0.11687499999999978,0,1,0,1,0
2019-10-03,0,-1.5188888888888716,-1.330625,-1.4324999999999997,1,1,0,1,1
2019-10-04,1,-4.2977777777777595,-2.7831249999999996,-0.9237499999999997,1,1,0,0,1
2019-10-07,1,-3.1988888888888343,-2.7653124999999994,-0.12687499999999974,0,1,0,0,1
2019-10-08,1,-2.2488888888888394,-1.6587499999999995,2.39625,0,1,0,0,0
2019-10-09,0,0.2977777777778354,-1.4593749999999992,-1.7924999999999995,1,1,0,0,1
2019-10-10,1,-3.9877777777777133,-2.9853125,-0.549375,0,1,0,0,1
2019-10-11,1,-3.8855555555554577,-2.0328125,1.1218749999999997,1,1,0,0,0
2019-10-14,0,-0.8022222222221242,-1.0521874999999996,0.6456249999999999,0,1,0,0,1
2019-10-15,1,-1.7866666666665827,0.35156250000000017,0.5106250000000001,1,1,0,1,1
2019-10-16,1,0.4766666666667384,1.7887499999999998,1.4037499999999996,0,1,0,0,1
2019-10-17,1,4.84555555555562,2.8428125,0.9156250000000001,1,1,0,0,1
2019-10-18,1,4.301111111111165,2.48625,-0.9675,1,1,0,1,0
2019-10-21,0,2.604444444444476,2.7796875,0.0093749999999998,1,1,0,0,0
2019-10-22,0,1.3233333333333677,3.4437500000000005,-0.10249999999999981,1,1,0,0,0
2019-10-23,0,1.7922222222222344,2.7890625000000004,-0.343125,0,1,0,0,1
2019-10-24,1,1.3088888888888859,2.425312500000001,-0.8843749999999997,1,1,0,0,0
2019-10-25,0,2.0366666666666586,1.815625,1.6087500000000001,0,1,0,0,1
2019-10-28,1,2.961111111111096,2.7050000000000005,-0.2424999999999998,1,1,1,1,1
2019-10-29,1,3.8966666666666594,1.6424999999999996,-0.5275000000000003,0,1,1,1,0
2019-10-30,0,3.1455555555555494,2.4740624999999996,0.7993750000000001,0,1,0,1,1
2019-10-31,1,1.3088888888888859,1.0143749999999998,-1.0462500000000001,0,1,0,1,0
2019-11-01,0,1.7700000000000071,0.5234374999999998,0.9893749999999999,1,1,0,1,1
2019-11-04,1,2.778888888888888,0.806875,0.20124999999999993,1,1,1,1,1
2019-11-05,1,3.986666666666679,1.6365625000000001,0.608125,1,1,1,0,1
2019-11-06,1,5.85111111111112,2.12125,-0.24499999999999988,0,1,1,0,1
2019-11-07,1,3.9422222222222243,2.0131249999999996,0.014999999999999986,1,1,1,1,1
2019-11-08,1,4.044444444444455,2.0249999999999995,-0.71125,0,1,1,1,1
2019-11-11,1,4.084444444444468,1.1637499999999998,-0.08250000000000002,0,1,1,0,0
2019-11-12,0,3.3622222222222464,2.3081249999999995,1.4262500000000005,1,1,1,1,0
2019-11-13,0,4.431111111111123,2.7009374999999993,-0.704375,0,1,1,0,1
2019-11-14,1,3.6633333333333615,2.4056250000000006,-0.009999999999999926,0,1,1,1,1
2019-11-15,1,4.130000000000034,1.6034375,-0.2156249999999999,1,1,1,1,1
2019-11-18,1,4.985555555555594,1.2009375,0.04062500000000002,0,1,1,0,0
2019-11-19,0,5.540000000000039,2.0609375,1.1406250000000002,1,1,1,0,0
2019-11-20,0,4.1244444444444825,2.22125,-0.8387499999999999,0,1,1,1,0
2019-11-21,0,2.4622222222222314,1.1874999999999998,-1.6687499999999997,0,1,1,0,1
2019-11-22,1,0.0,0.08437499999999987,-1.0612500000000002,1,1,1,0,0
2019-11-25,0,-0.7322222222222131,-0.09031249999999982,0.4131249999999998,1,1,1,0,1
2019-11-26,1,-1.133333333333313,0.02781249999999974,-0.49812499999999993,1,1,1,0,1
2019-11-27,1,0.060000000000021224,0.3918750000000001,0.3987500000000001,1,1,1,0,0
2019-11-29,0,0.07000000000001212,0.58625,-0.6912499999999998,0,1,1,0,0
2019-12-02,0,-1.8677777777777718,-0.6575000000000003,-1.3612499999999998,0,1,1,0,0
2019-12-03,0,-4.201111111111105,-1.2965625,0.6243750000000002,0,1,1,1,1
2019-12-04,1,-4.334444444444443,-1.49375,0.02124999999999977,1,1,1,1,1
2019-12-05,1,-0.9877777777777637,-1.2443749999999998,1.5987500000000003,1,1,1,0,0
2019-12-06,0,1.4944444444444747,0.8015625000000001,0.7468750000000002,1,1,1,1,1
2019-12-09,1,1.3911111111111343,1.7903124999999998,0.5806250000000003,0,1,1,1,1
2019-12-10,1,3.165555555555582,2.1950000000000003,-0.17124999999999976,0,1,1,0,1
2019-12-11,1,2.5822222222222484,1.841875,0.06500000000000025,1,1,1,0,0
2019-12-12,0,2.5666666666667073,1.7275000000000003,0.3900000000000001,0,1,1,1,1
2019-12-13,1,2.482222222222264,2.558125,-0.09624999999999978,0,1,1,1,0
2019-12-16,0,3.3477777777778153,3.1337499999999996,1.1862500000000002,1,1,1,1,1
2019-12-17,1,4.755555555555576,3.792812499999999,-1.069375,1,1,1,1,0
